design_id,capacity_m3,storage_depth_m,outlet_side_mm,all_design_storms_pass,worst_peak_reduction_pct,worst_overflow_m3,worst_drawdown_h,passing_shapes
h0.150_o40,30.0,0.15,40.0,False,-1.0880185641326534e-12,150.51815098923038,37.81048249876897,0
h0.150_o60,30.0,0.15,60.0,False,-1.0880185641326534e-12,143.96557638042492,24.518629107912872,0
h0.150_o80,30.0,0.15,80.0,False,-1.0880185641326534e-12,136.19508397860608,18.261567357822177,0
h0.150_o100,30.0,0.15,100.0,False,-1.0880185641326534e-12,127.75315626983604,14.606207826639826,0
h0.300_o40,60.0,0.3,40.0,False,9.769962616701378e-13,118.35782410865346,30.5672344519016,0
h0.300_o60,60.0,0.3,60.0,False,9.769962616701378e-13,109.49026992261086,18.778817115248398,0
h0.300_o80,60.0,0.3,80.0,False,9.769962616701378e-13,98.7082625761559,13.610632314199,0
h0.300_o100,60.0,0.3,100.0,False,9.769962616701378e-13,86.58611291221472,10.715496783811837,0
h0.450_o40,90.0,0.45,40.0,False,-3.4416913763379853e-12,87.08161021667621,28.666003136627776,0
h0.450_o60,90.0,0.45,60.0,False,-3.4416913763379853e-12,76.99462356123993,16.812561686735275,0
h0.450_o80,90.0,0.45,80.0,False,-3.4416913763379853e-12,64.79968302294002,11.871001312410923,0
h0.450_o100,90.0,0.45,100.0,False,-3.4416913763379853e-12,51.21876582747655,9.194351532660168,0
h0.600_o40,120.0,0.6,40.0,False,2.2093438190040615e-12,56.237398877354764,28.298404977954128,0
h0.600_o60,120.0,0.6,60.0,False,2.2093438190040615e-12,45.441539599308534,15.979126420944562,0
h0.600_o80,120.0,0.6,80.0,False,2.19824158875781e-12,32.5494156133772,11.023211102494514,0
h0.600_o100,120.0,0.6,100.0,False,7.487751896911899,18.459253757742903,8.407698695116553,0
h0.750_o40,150.0,0.75,40.0,False,7.8696023367973105,25.671186292953525,28.567172930685878,0
h0.750_o60,150.0,0.75,60.0,False,21.457086285906925,14.501226948540971,15.64044549299203,0
h0.750_o80,150.0,0.75,80.0,False,66.91570703242213,1.4406474817015167,10.573370592484304,2
h0.750_o100,150.0,0.75,100.0,True,63.088747915752876,0.0,7.805989400841937,3
h0.900_o40,180.0,0.9,40.0,False,92.95742175760584,0.0,28.837150688369757,0
h0.900_o60,180.0,0.9,60.0,True,84.867712394301,0.0,15.079690393795929,3
h0.900_o80,180.0,0.9,80.0,True,74.63236013278242,0.0,9.83617962958544,3
h0.900_o100,180.0,0.9,100.0,True,63.088747915752876,0.0,7.1952375057076905,3
