side_mm,head_m,integrated_m3_s,quadrature_m3_s,absolute_difference_m3_s,centroid_m3_s,centroid_relative_difference
40,0.02,0.00020710031091344223,0.00020710031091344217,5.421010862427522e-20,,
40,0.04,0.0005857681369309494,0.0005857681369309494,0.0,0.0006213009327403268,0.057190958417936866
40,0.3,0.002324200555313741,0.002324200555313744,3.0357660829594124e-18,0.002324695224397383,0.00021278878988117977
40,0.9,0.004121155445427471,0.004121155445427473,1.734723475976807e-18,0.004121244151595001,2.152412336331455e-05
60,0.03,0.0005707013482233942,0.0005707013482233945,3.2526065174565133e-19,,
60,0.06,0.0016141871734442691,0.0016141871734442691,0.0,0.001712104044670183,0.057190958417936866
60,0.3,0.005133663853593992,0.0051336638535939925,8.673617379884035e-19,0.005136312134010549,0.0005155995873034058
60,0.9,0.009219505550020173,0.009219505550020178,5.204170427930421e-18,0.00921996244751051,4.9555244171273216e-05
80,0.04,0.0011715362738618988,0.0011715362738618988,0.0,,
80,0.08,0.0033136049746150757,0.003313604974615075,8.673617379884035e-19,0.0035146088215856973,0.057190958417936866
80,0.3,0.008951653099015862,0.00895165309901586,1.734723475976807e-18,0.008960529481955406,0.0009906091997597954
80,0.9,0.016295101136266827,0.01629510113626683,3.469446951953614e-18,0.01629657068614474,9.01754059928761e-05
100,0.05,0.00204658964567345,0.00204658964567345,0.0,,
100,0.1,0.00578862966704748,0.005788629667047481,8.673617379884035e-19,0.006139768937020351,0.057190958417936866
100,0.3,0.013705884903192644,0.013705884903192647,3.469446951953614e-18,0.01372894070931913,0.0016793579792238056
100,0.9,0.025311263687181142,0.025311263687181163,2.0816681711721685e-17,0.025314915844221176,0.00014426897811981032
