event_id,rainfall_mm,shape,dt_s,horizon_h,curve_number,lag_min,discharge_coefficient,rainfall_total_mm,parking_runoff_m3,direct_rain_m3,total_inflow_m3,runoff_generation_error_m3,transform_error_m3,inflow_tail_end_h,baseline_peak_m3_s,baseline_time_to_peak_min,design_id,storage_depth_m,capacity_m3,outlet_side_mm,peak_downstream_m3_s,peak_reduction_pct,time_to_peak_min,maximum_storage_m3,maximum_depth_m,overflow_m3,overflow_onset_min,controlled_discharge_m3,total_discharge_m3,residual_storage_m3,drawdown_h_after_rain,routing_balance_error_m3,routing_balance_relative_error,peak_pass,overflow_pass,drawdown_pass,simulation_runtime_s,all_pass
25mm_uniform,25.0,uniform,1.875,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,1.4210854715202004e-14,1.834375,0.027765526509062326,59.984375,h0.300_o80,0.3,60.0,80.0,0.017155690455782253,38.21226314515287,69.765625,60.0,0.3,1.069856106611769,69.71875,82.60255706437864,83.67241317099041,0.13354152014236828,13.489132146975713,-5.601460961734972e-11,6.683846013547517e-13,False,False,True,0.35652183403726667,False
25mm_uniform,25.0,uniform,1.875,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,1.4210854715202004e-14,1.834375,0.027765526509062326,59.984375,h0.600_o80,0.6,120.0,80.0,0.009042199897094884,67.43371715229812,74.203125,61.053136382023006,0.30526568191011505,0.0,,83.67212618896377,83.67212618896377,0.13382850217905248,9.463031137040295,-6.606190594560246e-11,7.882722199051137e-13,True,True,True,0.35453825001604855,True
25mm_uniform,25.0,uniform,1.875,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,1.4210854715202004e-14,1.834375,0.027765526509062326,59.984375,h0.900_o80,0.9,180.0,80.0,0.009042199897094884,67.43371715229812,74.203125,61.053136382023006,0.30526568191011505,0.0,,83.67212618896377,83.67212618896377,0.13382850217905248,7.665408472671335,-6.606190594560246e-11,7.882722199051137e-13,True,True,True,0.37319241696968675,True
25mm_front_loaded,25.0,front_loaded,1.875,30.0,98.0,10.0,0.62,25.0,78.80595469107678,4.999999999999999,83.80595469107676,0.0,-1.4210854715202004e-14,1.834375,0.03268143408752649,28.703125,h0.300_o80,0.3,60.0,80.0,0.008923712968712645,72.69485499071611,66.328125,59.67718933329716,0.29838594666648577,0.0,,83.67349873537009,83.67349873537009,0.1324559557799185,13.369050378302035,-7.324360562499521e-11,8.739666041032979e-13,True,True,True,0.38721041707322,True
25mm_front_loaded,25.0,front_loaded,1.875,30.0,98.0,10.0,0.62,25.0,78.80595469107678,4.999999999999999,83.80595469107676,0.0,-1.4210854715202004e-14,1.834375,0.03268143408752649,28.703125,h0.600_o80,0.6,120.0,80.0,0.008923712968712645,72.69485499071611,66.328125,59.67718933329716,0.29838594666648577,0.0,,83.67349873537009,83.67349873537009,0.1324559557799185,9.311448733652718,-7.324360562499521e-11,8.739666041032979e-13,True,True,True,0.3667168340180069,True
25mm_front_loaded,25.0,front_loaded,1.875,30.0,98.0,10.0,0.62,25.0,78.80595469107678,4.999999999999999,83.80595469107676,0.0,-1.4210854715202004e-14,1.834375,0.03268143408752649,28.703125,h0.900_o80,0.9,180.0,80.0,0.008923712968712645,72.69485499071611,66.328125,59.67718933329716,0.29838594666648577,0.0,,83.67349873537009,83.67349873537009,0.1324559557799185,7.513826069590907,-7.324360562499521e-11,8.739666041032979e-13,True,True,True,0.37779312499333173,True
25mm_back_loaded,25.0,back_loaded,1.875,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107675,0.0,1.4210854715202004e-14,1.834375,0.04089936274911014,59.984375,h0.300_o80,0.3,60.0,80.0,0.03018681693195428,26.192451659626247,69.046875,60.0,0.3,4.636569406130253,69.0,79.03538961506807,83.6719590211983,0.13399566992888923,13.538935315046231,-5.04586372684912e-11,6.020889261925417e-13,False,False,True,0.37586045905482024,False
25mm_back_loaded,25.0,back_loaded,1.875,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107675,0.0,1.4210854715202004e-14,1.834375,0.04089936274911014,59.984375,h0.600_o80,0.6,120.0,80.0,0.009332929139529928,77.1807468082544,76.953125,64.50675846526737,0.32253379232633683,0.0,,83.67073761116883,83.67073761116883,0.135217079986408,9.614029412637736,-7.849046412822247e-11,9.365738319854705e-13,True,True,True,0.405440834001638,True
25mm_back_loaded,25.0,back_loaded,1.875,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107675,0.0,1.4210854715202004e-14,1.834375,0.04089936274911014,59.984375,h0.900_o80,0.9,180.0,80.0,0.009332929139529928,77.1807468082544,76.953125,64.50675846526737,0.32253379232633683,0.0,,83.67073761116883,83.67073761116883,0.135217079986408,7.816406746963969,-7.849046412822247e-11,9.365738319854705e-13,True,True,True,0.3858674579532817,True
50mm_uniform,50.0,uniform,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827518,10.0,187.10337120827518,0.0,0.0,1.834375,0.057478790323088766,59.984375,h0.300_o80,0.3,60.0,80.0,0.057478790323087496,2.2093438190040615e-12,59.984375,60.0,0.3,94.18614735635416,37.28125,92.78302647490901,186.96917383126316,0.13419737705912965,13.560973883216091,-4.7114812051773924e-11,2.5181166831744474e-13,False,False,True,0.4338718330254778,False
50mm_uniform,50.0,uniform,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827518,10.0,187.10337120827518,0.0,0.0,1.834375,0.057478790323088766,59.984375,h0.600_o80,0.6,120.0,80.0,0.0574787903230875,2.19824158875781e-12,59.984375,120.0,0.6,26.680086817914304,59.34375,160.27453547992766,186.95462229784195,0.14874891061099144,10.972992748738381,-1.777645253220328e-10,9.5008723880316e-13,False,False,True,0.4120357079664245,False
50mm_uniform,50.0,uniform,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827518,10.0,187.10337120827518,0.0,0.0,1.834375,0.057478790323088766,59.984375,h0.900_o80,0.9,180.0,80.0,0.014581012529194266,74.63236013278242,75.640625,145.7315864031256,0.7286579320156279,0.0,,186.94907036104672,186.94907036104672,0.15430084745039999,9.680494960645653,-2.2194449056378573e-10,1.1862132100053235e-12,True,True,True,0.3838419170351699,True
