event_id,rainfall_mm,shape,dt_s,horizon_h,curve_number,lag_min,discharge_coefficient,rainfall_total_mm,parking_runoff_m3,direct_rain_m3,total_inflow_m3,runoff_generation_error_m3,transform_error_m3,inflow_tail_end_h,baseline_peak_m3_s,baseline_time_to_peak_min,design_id,storage_depth_m,capacity_m3,outlet_side_mm,peak_downstream_m3_s,peak_reduction_pct,time_to_peak_min,maximum_storage_m3,maximum_depth_m,overflow_m3,overflow_onset_min,controlled_discharge_m3,total_discharge_m3,residual_storage_m3,drawdown_h_after_rain,routing_balance_error_m3,routing_balance_relative_error,peak_pass,overflow_pass,drawdown_pass,simulation_runtime_s,all_pass,varied_parameter,parameter_value,is_nominal
50mm_uniform,50.0,uniform,1.875,30.0,95.0,10.0,0.62,50.0,147.60951494240288,10.0,157.60951494240288,0.0,0.0,1.834375,0.054140091827477255,59.984375,h0.750_o100,0.75,150.0,100.0,0.01929076436662021,64.36880006023607,73.671875,108.8021403852607,0.5440107019263035,0.0,,157.51964176024677,157.51964176024677,0.08987318261698664,7.373844002873446,-4.608752407486705e-10,2.924158740778395e-12,True,True,True,0.3853775419993326,True,curve_number,95.0,False
50mm_front_loaded,50.0,front_loaded,1.875,30.0,95.0,10.0,0.62,50.0,147.60951494240288,9.999999999999998,157.60951494240288,0.0,2.842170943040401e-14,1.834375,0.06142524352057274,29.984375,h0.750_o100,0.75,150.0,100.0,0.019014000393008892,69.04529912585424,65.296875,105.99234397554977,0.5299617198777489,0.0,,157.52058526158953,157.52058526158953,0.0889296812966281,7.222344253000416,-4.832772515506178e-10,3.0662948980410706e-12,True,True,True,0.3859485830180347,True,curve_number,95.0,False
50mm_back_loaded,50.0,back_loaded,1.875,30.0,95.0,10.0,0.62,50.0,147.60951494240288,10.0,157.60951494240288,0.0,0.0,1.834375,0.0791583612781321,59.984375,h0.750_o100,0.75,150.0,100.0,0.019998376220558743,74.73624276999354,76.390625,116.17128444857384,0.5808564222428693,0.0,,157.51869292363196,157.51869292363196,0.09082201921859509,7.523813380211315,-4.4767320406258193e-10,2.840394529646135e-12,True,True,True,0.38578729098662734,True,curve_number,95.0,False
50mm_uniform,50.0,uniform,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827518,10.0,187.10337120827518,0.0,0.0,1.834375,0.057478790323088766,59.984375,h0.750_o100,0.75,150.0,100.0,0.021216141191131136,63.088747915752876,73.390625,129.4765422254501,0.6473827111272504,0.0,,187.01172195697436,187.01172195697436,0.0916492518994075,7.652657663283192,-5.985852508105793e-10,3.199222156955477e-12,True,True,True,0.36809358291793615,True,curve_number,98.0,True
50mm_front_loaded,50.0,front_loaded,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827518,9.999999999999998,187.10337120827518,0.0,0.0,1.834375,0.07319136248828047,26.234375,h0.750_o100,0.75,150.0,100.0,0.021044243487933094,71.24764074271368,64.578125,127.55061030213153,0.6377530515106576,0.0,,187.01261262905052,187.01261262905052,0.09075857982171373,7.513859819999553,-5.970587080295076e-10,3.191063336666918e-12,True,True,True,0.3739093340700492,True,curve_number,98.0,True
50mm_back_loaded,50.0,back_loaded,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827515,10.0,187.10337120827515,0.0,0.0,1.834375,0.08567394941731443,59.984375,h0.750_o100,0.75,150.0,100.0,0.02194021086661386,74.39103599655019,76.171875,137.7613649883793,0.6888068249418966,0.0,,187.01072269247368,187.01072269247368,0.0926485163734775,7.805989400841937,-5.720061230229945e-10,3.0571663104149134e-12,True,True,True,0.36891137494239956,True,curve_number,98.0,True
50mm_uniform,50.0,uniform,1.875,30.0,100.0,10.0,0.62,50.0,200.0,10.0,210.0,0.0,0.0,1.834375,0.058333333333333855,55.265625,h0.750_o100,0.75,150.0,100.0,0.022519490227603377,61.39515960982314,73.109375,144.59008813624024,0.7229504406812012,0.0,,209.90712924488608,209.90712924488608,0.09287075578908954,7.839754005107051,-6.751683656602836e-10,3.21508745552516e-12,True,True,True,0.3861538339406252,True,curve_number,100.0,False
50mm_front_loaded,50.0,front_loaded,1.875,30.0,100.0,10.0,0.62,50.0,200.0,9.999999999999998,209.99999999999997,0.0,-2.842170943040401e-14,1.834375,0.0812354428627054,23.078125,h0.750_o100,0.75,150.0,100.0,0.02246526301870253,72.34549080175425,63.796875,143.94327732357453,0.7197163866178726,0.0,,209.9079420611385,209.9079420611385,0.09205793953009395,7.715670248009945,-6.686213249729178e-10,3.1839110712996093e-12,True,True,True,0.3753562089987099,True,curve_number,100.0,False
50mm_back_loaded,50.0,back_loaded,1.875,30.0,100.0,10.0,0.62,50.0,200.0,10.0,210.0,0.0,0.0,1.834375,0.08751540624316673,59.984375,h0.750_o100,0.75,150.0,100.0,0.04616012788257346,47.254855043105415,71.640625,150.0,0.75,2.841103393309644,71.59375,207.0652672717552,209.90637066506483,0.09362933554177386,7.954097360052254,-6.066009639038583e-10,2.8885760185898013e-12,False,False,True,0.37775250000413507,False,curve_number,100.0,False
50mm_uniform,50.0,uniform,1.875,30.0,98.0,5.0,0.62,50.0,177.10337120827518,10.0,187.10337120827518,0.0,0.0,1.4177083333333333,0.05769813109948803,59.984375,h0.750_o100,0.75,150.0,100.0,0.021655147512865337,62.46819940228967,66.640625,134.46641110729553,0.6723320555364777,0.0,,187.01235916955966,187.01235916955966,0.0910120393027025,7.553564994340793,-5.87183621170162e-10,3.138284560979584e-12,True,True,True,0.3718954159412533,True,lag_min,5.0,False
